Windspeed,Power
[m/s],[kW]
3,42.73331211
3.54953237,292.5859809
4.067900771,607.966543
4.553906848,981.0976926
5.006427063,1401.98084
5.424415288,1858.67086
5.806905228,2337.575997
6.153012649,2824.097302
6.461937428,3303.06456
6.732965398,3759.432328
6.965470002,4178.637714
7.158913742,4547.19121
7.312849418,4855.342682
7.426921164,5091.537139
7.500865272,5248.453137
7.534510799,5320.793207
7.541241633,5335.345498
7.58833327,5437.90563
7.675676842,5631.253025
7.803070431,5920.980626
7.970219531,6315.115602
8.176737731,6824.470067
8.422147605,7462.846389
8.70588182,8238.359448
9.027284445,9167.96703
9.385612468,10285.211
9.780037514,11617.23699
10.20964776,13194.41511
10.65845809,15000
10.67345004,15000.00129
11.17037214,14999.97096
11.6992653,15000.00934
12.25890683,15000.00063
12.84800295,15000.00011
13.46519181,14999.94712
14.10904661,15000.08082
14.77807889,15000.05209
15.470742,15000.03592
16.18543466,15000.02562
16.92050464,15000.01835
17.67425264,15000.01281
18.44493615,15000.00835
19.23077353,15000.00488
20.02994808,15000.00233
20.8406123,15000.00066
21.66089211,14999.87148
22.4888912,15000.00047
23.32269542,15000.00194
24.1603772,15000.00417
25,15000.00688
25.01,0
45,0
