3L_X,3L_Y,GCG20_X,GCG20_Y,GAG20_X,GAG20_Y,GS_X,GS_Y
9.055558387,98.75018649,6.863060173,98.80723846,16.73354143,98.7304851,2348832.549,40.04757452
9.87224838,97.85910871,7.120769642,97.9639548,17.50273202,97.84917592,2135028.917,40.3716625
10.61685111,97.03288136,7.414317648,97.10511981,18.31652685,96.96425482,1931887.081,40.75912332
11.41761462,96.22019871,7.688843389,96.29695207,19.16815931,96.09016949,1748073.603,41.12359917
12.27877478,95.41654588,7.97353384,95.47523963,20.05938868,95.20886032,1581749.448,41.51762712
13.20488693,94.61289305,8.268765362,94.67610169,20.99205603,94.33477499,1431250.555,41.91165507
14.20085,93.81827002,8.574928255,93.89050847,21.96808804,93.46430158,1295071.198,42.29254875
15.27193242,93.0326768,8.892427268,93.11845996,22.98950094,92.62633548,1171848.913,42.68000956
16.42379997,92.26062829,9.221682137,92.32835184,24.05840475,91.77392168,1060350.872,43.08060464
17.74299902,91.43440094,9.601838573,91.51065264,25.17700756,90.9395675,959461.5488,43.48776686
19.25547066,90.56753945,9.91721667,90.76361526,26.34762015,90.10521333,868171.5529,43.9014962
20.80211631,89.76840152,10.33126156,89.93906487,27.57266073,89.29975453,785567.5365,44.29880771
22.37109148,89.00989772,10.80615859,89.04651861,28.85465994,88.46540035,710823.0538,44.70596993
24.16799127,88.2197896,11.2119323,88.26042373,30.19626609,87.66355348,643190.2928,45.12298284
26.2281504,87.38503409,11.63294291,87.48135204,31.71797085,86.82427395,581992.5936,45.55313001
28.33485843,86.61248393,12.16153163,86.65060978,33.22014615,86.00206897,526617.6789,45.96685936
30.6107823,85.82789402,12.62457325,85.83592051,34.62457066,85.25239431,476511.5274,46.40357367
33.06951385,85.07290181,13.20488693,84.99073057,36.35107392,84.46995696,431172.8315,46.83043728
35.2419562,84.30687317,13.81885215,84.10580947,38.07267475,83.66154296,390147.9816,47.26715159
36.71331175,83.77712449,14.46136386,83.21727645,39.87581127,82.88071091,353026.5277,47.70714946
41.69538185,83.03410036,15.13374935,82.35402688,42.04134023,82.03355082,319437.073,48.14714734
44.63688509,82.18336353,15.83739761,81.49438925,44.03243427,81.25600234,289043.5579,48.60356304
48.2222269,81.43338788,16.57376221,80.64197545,46.11782729,80.46728973,261541.898,49.05341161
52.33284826,80.66685759,17.3443643,79.79678551,48.66253385,79.62341321,236656.9416,49.50982732
56.79387251,79.90032729,18.15079577,78.96965517,51.39009954,78.74150205,214139.717,49.96952659
61.91591859,79.11413209,18.99472252,78.14252484,54.27054699,77.87163063,193764.9412,50.435793
67.49990458,78.32312098,19.87788789,77.32261835,57.31244535,77.05292811,175328.7666,50.9020594
73.58749127,77.54294565,20.87961031,76.47775676,60.52484402,76.20713618,158646.7407,51.38474364
80.58951905,76.72665108,21.86847668,75.64307423,63.91729966,75.35833431,143551.9614,51.86414431
88.25780672,75.93202805,22.88525813,74.84483928,67.49990458,74.54264173,129893.4068,52.33697784
96.6557505,75.1337931,23.94931514,74.06827586,71.28331677,73.72995909,117534.4242,52.82951278
105.852779,74.33917008,25.08356391,73.26971256,75.27879159,72.91727645,106351.3632,53.31876415
115.9249269,73.57344243,26.44577279,72.41598534,79.49821529,72.12265342,96232.33804,53.82114978
127.5337488,72.76075979,27.69825475,71.62661601,83.95414034,71.3370602,87076.10895,54.31368471
140.3050881,71.95168907,29.01005475,70.83658998,88.97031159,70.51858922,78791.06862,54.82263748
153.6554566,71.20763296,30.58549891,70.02883269,94.05574491,69.72373466,71294.32595,55.32830668
169.0426462,70.41300994,32.06052072,69.22435896,99.43185533,68.92934316,64510.87671,55.85039371
186.8178225,69.61181978,33.82956801,68.40839275,105.9329871,68.09535944,58372.85307,56.36591361
206.4620947,68.81719675,35.72573661,67.54153127,113.0118416,67.25618936,52818.84465,56.89456777
228.1720018,68.02257372,37.72818666,66.67466978,120.2668918,66.3906413,47793.2841,57.41993837
252.1647496,67.23451783,39.8428753,65.84693746,128.8152641,65.5080187,43245.89112,57.9518761
278.6803834,66.4497455,42.07609356,65.02221508,138.1766045,64.60438128,39131.16946,58.50023166
307.9841897,65.7010924,44.59009573,64.18383222,148.8441907,63.74127244,35407.95168,59.04202008
340.3693506,64.92617077,46.96385644,63.37961107,158.6222427,62.93632963,32038.98732,59.59037564
376.1598766,64.19065193,49.72878916,62.58347255,169.0426462,62.13138682,28990.57019,60.14529834
415.713849,63.4551331,52.57122543,61.77148451,180.1475994,61.34192369,26232.20115,60.7035046
459.4270016,62.71633069,55.51787574,60.99191116,191.9820726,60.55762044,23736.28295,61.26827799
507.7366806,62.00051326,58.69120907,60.19404667,204.5939902,59.79911664,21477.84417,61.83961851
561.1262202,61.28141225,62.634347,59.34107719,219.0275764,58.97675921,19434.28931,62.41752617
620.1297779,60.57216195,66.56258024,58.50199973,235.5474738,58.12795733,17585.1728,62.99543382
685.3376791,59.88918017,71.17541196,57.62078317,253.3133651,57.27464056,15911.99439,63.58647575
757.4023231,59.18321343,77.04078697,56.67128527,272.4192278,56.45744302,14398.01407,64.1742341
837.0447103,58.51664949,83.32063512,55.6342256,292.9661278,55.63573057,13028.08461,64.77841029
925.0616557,57.83038415,90.98335094,54.52332779,315.0627536,54.82304793,11788.49998,65.37601934
1022.333761,57.1638202,98.87724085,53.57112967,338.8259913,54.0329398,10666.85824,65.98347909
1129.834225,56.51039052,105.3728037,52.79198631,364.3815434,53.25186148,9651.937482,66.60407311
1248.638581,55.86024441,112.2950809,52.02832262,393.649544,52.42162088,8733.583501,67.22138356
1379.935454,55.21666543,119.6721047,51.26981882,425.2684207,51.61746639,7902.608249,67.84854471
1525.03846,54.58622071,128.1146676,50.47519579,459.4270016,50.82836158,7150.697893,68.47570586
1685.399341,53.94920886,137.7775658,49.63542373,498.5900715,50.00163257,6470.329637,69.11271771
1862.622493,53.32861485,148.1692767,48.81371128,541.0915305,49.18694331,5854.696455,69.75958026
2058.481018,52.71458796,159.3447702,48.00554354,587.2159537,48.38429379,5297.638993,70.40315924
2274.934463,52.11369534,171.3631621,47.20640561,637.2721746,47.59368401,4793.58394,71.06315605
2514.148426,51.50951915,184.2880272,46.42532729,691.5953525,46.81511397,4337.48827,71.72971999
2778.516221,50.91847723,198.1877349,45.66230859,753.9679838,46.02169492,3924.788786,72.39300037
3070.682825,50.32743531,214.1066498,44.84862264,825.7098611,45.18011689,3551.356466,73.06284788
3393.571339,49.74952766,231.30421,44.06854763,904.2781516,44.37104617,3213.455153,73.74911322
3750.412233,49.18475426,249.8831197,43.28345607,990.322405,43.56558738,2907.704174,74.42881143
4144.77567,48.61013017,271.1839794,42.48080655,1084.553977,42.77096435,2631.044518,75.13149461
4580.607221,48.04864035,294.3005944,41.68618352,1187.751911,42.0052367,2380.708229,75.82432708
5062.26734,47.50356835,319.3877459,40.91563998,1306.694409,41.19912119,2154.190716,76.53029382
5594.574997,46.95192923,349.7782624,40.1385293,1437.547911,40.42321449,1949.225689,77.24611126
6182.855881,46.4101408,,,1538.963264,39.97894798,1763.762494,77.9619287
6832.99569,45.8749195,,,,,1595.945585,78.68759683
7551.499016,45.34626534,,,,,1444.095971,79.4296828
8345.554421,44.82746188,,,,,1306.694409,80.16520164
9223.106359,44.31194198,,,,,1182.36621,80.89743691
10192.93466,43.79642208,,,,,1069.867479,81.67235854
11264.74237,43.29732001,,,,,968.0726775,82.40787737
12449.25283,42.79493438,,,,,875.9633576,83.19921683
13758.31696,42.30568301,,,,,792.6179735,83.9708549
15205.03183,41.81643165,,,,,717.202662,84.75234366
16803.8717,41.33703098,,,,,648.9628997,85.51741459
18570.83282,40.85763031,,,,,589.8907342,86.29824664
20523.59348,40.38479677,,,,,536.1956415,87.06397428
22374.54653,40.02770894,,,,,487.3881708,87.83331385
,,,,,,443.0234241,88.61710111
,,,,,,402.6970001,89.40450029
,,,,,,367.7086342,90.15216832
,,,,,,335.7602356,90.92150789
,,,,,,306.5876766,91.69084746
,,,,,,279.9497781,92.46018703
,,,,,,255.6263159,93.24758621
,,,,,,233.4161999,94.03498539
,,,,,,213.1358118,94.83322034
,,,,,,194.6174872,95.63867914
,,,,,,177.7081289,96.44413793
,,,,,,162.2679417,97.2604325
,,,,,,148.8441907,98.04020651
,,,,,,135.9118495,98.79615642
